"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools"
"3504",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data Scientist","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"More internal than external"
"3505",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data Analyst","Bayesian Methods",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"3506",NA,"Very useful","Very useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,"Very useful",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3508",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3510","Very useful","Very useful","Very useful","Very useful",NA,NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,"Very useful","Very useful",NA,"Very useful","Very useful","Data Analyst","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3511",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful","Very useful","Very useful",NA,NA,NA,"Very useful","Data Scientist","Deep learning","Often",NA,"Often",NA,"Often",NA,NA,NA,"Often","Often",NA,NA,"Often","Often","Often",NA,"Often","Often","Often",NA,"Often",NA,"More external than internal"
"3512",NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Very useful","Other","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3513",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Data Scientist","Proprietary Algorithms","Often","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Often","Often",NA,NA,NA,NA,NA,"Entirely internal"
"3514",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful","Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Entirely internal"
"3515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3516",NA,NA,NA,NA,"Somewhat useful","Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Business Analyst","Factor Analysis","Often",NA,NA,"Often","Often","Often",NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"More internal than external"
"3517",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,NA,NA,"Software Developer/Software Engineer","Random Forests","Most of the time",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3518",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Not Useful","Data Scientist",NA,NA,"Sometimes",NA,NA,"Most of the time","Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3519",NA,"Very useful",NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3520",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"3521",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machine Learning Engineer","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"3522",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Machine Learning Engineer","Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,NA,"Often",NA,NA,"Often",NA,"Often",NA,"Approximately half internal and half external"
"3523",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Other","Neural Nets","Often","Often",NA,NA,"Often",NA,NA,"Often","Often","Often","Often",NA,"Sometimes",NA,NA,NA,"Often","Often",NA,"Often",NA,NA,"Entirely internal"
"3524","Very useful",NA,"Very useful",NA,"Very useful",NA,"Very useful","Very useful",NA,"Very useful","Very useful","Very useful","Very useful","Very useful",NA,"Very useful",NA,NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"More internal than external"
"3525",NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3526",NA,NA,"Not Useful","Not Useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3527",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Statistician","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3528",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Deep learning","Most of the time","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"More external than internal"
"3529","Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Data Scientist","Cluster Analysis",NA,NA,NA,NA,"Sometimes","Sometimes",NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,"More internal than external"
"3530","Somewhat useful","Somewhat useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Very useful","Very useful","Not Useful","Not Useful","Very useful",NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,"Most of the time",NA,"Most of the time",NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Most of the time",NA,NA,"Entirely internal"
"3531",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Very useful","Statistician","Survival Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3532",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Very useful","Very useful","Somewhat useful",NA,NA,NA,"Engineer","Deep learning",NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,NA,"More internal than external"
"3533",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3534",NA,NA,NA,NA,"Not Useful","Somewhat useful","Somewhat useful",NA,NA,"Very useful","Very useful","Very useful",NA,NA,NA,NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3536",NA,"Not Useful","Very useful",NA,NA,NA,"Somewhat useful","Not Useful",NA,NA,NA,"Very useful","Somewhat useful","Very useful",NA,NA,NA,NA,NA,"Text Mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3537",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,"Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3538",NA,"Somewhat useful",NA,NA,NA,NA,"Not Useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Data Analyst","Neural Nets","Often","Often",NA,NA,"Most of the time",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes","Often",NA,"Most of the time","Sometimes","Often","Most of the time","Entirely internal"
"3539","Somewhat useful","Very useful",NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful","Very useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Ensemble Methods (e.g. boosting, bagging)","Often",NA,NA,NA,NA,"Often",NA,NA,"Sometimes",NA,NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Researcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Approximately half internal and half external"
"3541",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,"Most of the time",NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"3542",NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,"Other","Time Series Analysis","Often",NA,NA,NA,"Most of the time","Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,"Often",NA,"Entirely external"
"3543",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3544",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful","Somewhat useful","Very useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Data Scientist","Deep learning","Sometimes",NA,"Sometimes",NA,"Most of the time","Often",NA,"Often","Sometimes",NA,NA,NA,NA,"Sometimes",NA,"Often",NA,NA,NA,"Most of the time","Sometimes",NA,"Approximately half internal and half external"
"3545","Somewhat useful",NA,NA,NA,NA,"Very useful","Very useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DBA/Database Engineer",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,"Sometimes","Often",NA,"More internal than external"
"3547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,"Somewhat useful","Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3548",NA,"Very useful","Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Computer Scientist","Time Series Analysis",NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3549",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Very useful","Software Developer/Software Engineer","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3552","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,NA,"Predictive Modeler","Bayesian Methods",NA,"Sometimes",NA,NA,"Most of the time","Often",NA,"Often","Often",NA,NA,"Sometimes","Often",NA,NA,NA,"Often",NA,"Often","Often",NA,NA,"More external than internal"
"3553",NA,"Very useful",NA,NA,"Very useful","Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Very useful",NA,"Somewhat useful","Somewhat useful","Data Scientist","Neural Nets","Sometimes",NA,NA,NA,"Most of the time","Most of the time",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,"Sometimes",NA,NA,NA,NA,"Often",NA,"More internal than external"
"3554",NA,"Somewhat useful",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Data Scientist","Bayesian Methods","Often",NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,"Often",NA,"Entirely internal"
"3555",NA,NA,"Very useful","Very useful","Somewhat useful","Not Useful","Not Useful",NA,NA,"Somewhat useful","Somewhat useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,"Not Useful",NA,"Researcher","Bayesian Methods",NA,"Sometimes",NA,NA,"Most of the time",NA,NA,"Often","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,"Sometimes",NA,"Entirely external"
"3556","Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3557","Somewhat useful","Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Text Mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3558",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3559",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Researcher","Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often",NA,NA,"Do not know"
"3560",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Data Analyst","Time Series Analysis",NA,NA,NA,NA,"Often",NA,NA,NA,"Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"3561",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Deep learning","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3562",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3563",NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Researcher","Cluster Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3564",NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,"Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Data Analyst","Deep learning","Often","Often",NA,NA,"Often","Most of the time",NA,"Most of the time","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"More internal than external"
"3565",NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful","Somewhat useful","Very useful","Very useful","Very useful","Very useful",NA,"Very useful",NA,NA,"Very useful","Somewhat useful","Business Analyst","Deep learning",NA,"Sometimes",NA,NA,"Sometimes",NA,NA,NA,"Often",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3566",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3567",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Most of the time","Often",NA,NA,NA,NA,"Most of the time",NA,"Often",NA,"Often","Often",NA,"Entirely external"
"3568",NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful","Very useful","Somewhat useful",NA,NA,"Somewhat useful","Data Analyst","Time Series Analysis",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"3569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,"Data Scientist","Deep learning","Sometimes",NA,NA,NA,"Sometimes",NA,NA,"Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"3571",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Not Useful","Somewhat useful",NA,NA,NA,NA,"Software Developer/Software Engineer","Support Vector Machines (SVM)",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"3572",NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful","Programmer","Deep learning",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"3573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cluster Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3574",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,"Machine Learning Engineer","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,"Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Sometimes","Often",NA,"Entirely internal"
"3575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3576",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,"Very useful","Machine Learning Engineer","Genetic & Evolutionary Algorithms",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Do not know"
"3579",NA,NA,"Very useful",NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,"Data Scientist","Time Series Analysis",NA,NA,NA,NA,"Most of the time","Sometimes",NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Often",NA,"More internal than external"
"3580",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Business Analyst","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","Very useful",NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Statistician","Bayesian Methods","Most of the time",NA,NA,NA,"Sometimes","Most of the time",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,NA,"Entirely external"
"3583",NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,"Somewhat useful","Other","Anomaly Detection","Most of the time",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Entirely internal"
